b	Npart	Ncoll
6.8311	229	884
11.5191	54	95
14.402	2	1
13.9048	17	16
5.1032	313	1090
6.5109	221	822
10.1358	68	150
9.63683	109	218
6.70293	257	771
9.92582	104	210
8.87813	165	454
9.32956	121	293
11.8977	37	61
1.84565	399	2001
11.4224	52	94
1.87031	403	1875
14.8149	12	10
6.83587	220	714
8.36563	144	445
15.3804	4	3
9.14824	134	346
9.68871	115	289
8.06116	162	550
10.0759	74	174
14.2106	6	4
10.5072	97	240
12.5831	54	75
14.441	10	8
4.70953	322	1311
15.5759	2	1
14.5645	12	12
15.8882	3	2
8.96482	123	308
6.90304	211	759
12.9187	38	53
10.7194	89	176
3.46667	372	1594
12.9797	31	32
11.8539	45	63
12.811	15	17
7.91481	185	584
16.1749	2	1
11.8669	58	88
11.2859	67	118
6.14326	246	919
12.6397	31	54
10.2323	88	183
13.8861	12	9
6.11189	263	923
11.0027	54	85
4.22557	339	1476
9.08155	134	437
11.0112	79	135
2.44122	389	1880
11.4447	75	109
9.20635	141	404
11.6634	48	74
9.08897	131	355
4.89794	329	1236
7.02609	198	719
14.963	2	1
14.0914	10	8
9.83617	114	318
11.0896	57	140
15.1081	5	4
4.16303	355	1330
12.5682	58	73
9.92051	86	201
15.3722	2	1
7.13001	232	778
15.2808	4	2
6.72967	231	767
11.624	32	44
12.5713	50	80
7.72308	202	683
4.7883	321	1273
12.4364	39	51
2.48621	385	1787
16.0687	2	1
1.40498	402	1940
7.4896	204	671
12.03	48	75
2.01468	389	1894
13.3982	19	15
3.18936	353	1689
4.86678	308	1166
12.347	32	31
10.267	98	213
7.33953	193	665
12.2078	20	28
3.81688	320	1615
15.028	3	2
8.12459	175	558
9.82798	97	291
9.37013	113	295
7.57761	202	606
14.2232	3	2
9.71821	99	216
9.46913	126	266
11.1694	64	139
8.36236	162	508
5.99746	287	1108
7.33999	210	627
12.0972	64	83
13.0203	26	23
6.61604	236	845
6.96127	213	789
8.51869	163	472
14.0212	17	15
10.1562	115	217
8.85343	139	360
13.2289	8	6
5.3539	293	1064
4.21075	335	1411
14.701	5	4
12.2659	21	28
10.8292	73	187
10.0245	89	188
12.3352	23	35
14.8928	5	4
14.3875	2	1
10.7613	67	150
13.8717	13	14
10.7678	63	119
11.0248	84	163
13.7989	12	9
11.7318	41	65
10.0529	101	197
12.0569	44	83
14.6444	11	7
9.93646	101	258
5.03033	307	1110
14.8416	5	3
15.4651	2	1
13.8041	9	7
8.93394	148	410
8.12207	181	458
15.0106	3	2
15.2586	2	1
3.56633	349	1383
12.3543	22	21
11.3154	58	84
14.3797	2	1
8.25455	170	494
11.0831	53	80
12.4165	19	23
4.4346	331	1386
12.1192	47	68
11.9713	43	66
13.8115	5	3
8.20285	180	545
12.8587	19	24
14.2551	4	4
6.45204	263	963
10.827	63	122
8.30803	182	493
9.74896	116	234
2.70034	382	1771
5.67934	261	1100
14.6109	15	15
12.4796	25	26
11.193	66	92
12.9697	16	13
5.68094	298	1115
1.76347	401	1898
4.28775	340	1504
9.42912	98	288
16.0067	2	1
3.09101	375	1636
15.5062	3	2
14.0132	9	7
13.8282	22	23
12.1502	29	49
12.6544	29	42
15.6012	3	2
6.11391	255	914
17.382	2	1
1.04421	406	1929
8.92788	152	408
12.1475	31	43
10.7952	81	182
15.4728	4	3
9.8945	103	247
11.2487	72	139
5.09306	306	1128
12.3892	25	25
13.7175	5	3
6.38685	245	840
17.1969	4	2
10.692	87	135
10.0378	102	188
9.41935	120	368
15.084	8	6
10.2495	108	219
14.0208	5	5
0.670295	404	1966
11.7641	50	78
14.2173	11	8
8.85213	154	305
14.6692	9	7
10.856	82	150
9.86994	97	251
7.21451	217	746
14.4685	16	13
10.1738	102	246
6.55255	250	852
10.8216	66	152
9.59967	123	280
13.6147	4	3
13.1724	17	23
11.0243	73	142
17.2262	2	1
9.9585	98	261
14.8855	6	6
14.5009	8	7
14.9351	2	1
9.03154	122	342
12.9437	33	49
17.4577	2	1
6.364	258	910
17.0437	2	1
11.1965	67	137
14.0102	21	17
11.7095	43	72
7.26706	208	775
9.37081	128	324
12.3019	49	66
8.22744	167	470
14.1045	31	26
9.35448	121	305
15.8912	2	1
7.83674	203	610
15.4312	2	1
9.24087	115	287
5.1785	286	1204
13.274	13	11
8.64529	164	429
3.73659	355	1577
7.11032	208	675
15.6769	3	2
9.28701	118	344
16.9441	9	8
14.514	5	3
11.3786	66	121
4.70676	311	1282
1.26105	404	1929
3.64836	345	1570
11.2312	80	140
11.6731	40	92
14.1396	18	15
13.9272	14	11
14.6526	9	10
8.58704	168	497
11.0325	71	125
13.4481	11	11
8.97815	138	399
8.06416	181	519
2.11091	381	1943
8.21166	169	479
6.10977	239	953
16.5252	2	1
12.0093	76	137
9.14616	122	372
6.20632	248	989
10.6882	71	150
13.9061	13	13
13.2539	14	11
13.4765	16	13
4.41876	318	1400
14.47	9	7
9.72559	129	271
14.4545	6	4
1.33702	395	2011
9.81057	102	261
12.0077	45	48
4.80046	298	1287
11.2215	77	123
6.64038	250	798
11.4269	72	119
2.64021	379	1763
8.77057	141	401
11.9069	45	56
11.9094	49	60
6.36069	252	888
9.53191	138	326
14.1321	5	5
4.511	337	1315
3.01597	381	1673
5.92863	275	927
9.58101	118	301
14.3747	8	11
13.532	14	12
5.09109	299	1114
16.0223	4	2
9.92559	110	316
10.7982	89	180
11.4382	71	130
12.8108	10	8
12.7258	27	45
14.3432	5	4
10.3053	112	237
4.75401	319	1212
13.6662	23	22
12.6048	25	36
9.21411	125	260
9.04762	145	364
8.8427	144	450
9.17468	147	384
10.5972	99	178
4.75759	317	1329
14.2133	22	27
13.271	22	17
9.73851	136	254
3.92181	329	1399
7.30412	229	703
6.1193	254	993
10.4855	82	123
15.5162	11	10
13.1953	16	16
8.24	166	554
9.5458	119	275
9.76732	86	162
11.9487	47	90
15.3921	2	1
13.3826	2	1
10.5136	96	161
3.43511	363	1763
12.7126	25	29
14.5571	3	2
13.6586	23	28
7.70905	201	617
11.112	66	95
15.2449	7	8
6.79616	219	733
10.1623	111	243
12.7667	39	56
14.1808	6	3
12.6762	35	50
5.80963	267	1066
11.7658	50	99
6.73661	222	839
7.64372	185	509
13.4927	6	4
13.0476	36	45
6.50077	235	912
12.7784	25	25
17.4581	2	1
2.28908	377	1744
15.9352	3	2
10.9332	80	150
2.25939	388	1865
14.4423	9	6
1.81943	403	1863
16.2439	4	2
14.1689	5	3
1.76817	394	1904
10.1014	99	206
12.7465	38	51
3.50325	348	1454
14.7294	4	3
14.6794	11	12
3.20375	383	1668
17.3193	3	2
10.5158	81	164
8.24935	166	536
13.6397	15	14
16.0368	6	6
12.461	10	9
14.667	8	8
13.4214	17	20
7.79699	180	577
4.67265	314	1302
9.27015	122	268
15.5873	18	18
13.4719	16	20
4.32934	333	1412
9.12008	153	427
9.81836	110	222
5.42881	264	1137
9.88164	119	238
7.91567	158	609
11.1717	80	168
6.501	246	760
4.48994	319	1429
13.4842	18	16
11.2623	66	97
13.5295	9	7
14.6804	7	5
13.1215	19	18
13.9222	13	18
3.98272	344	1422
10.0329	124	237
5.57056	286	1101
12.7429	13	14
10.9744	66	118
10.3298	82	183
12.3413	39	47
9.20313	134	398
15.4588	2	1
12.8358	41	47
14.3192	9	8
10.2766	112	205
10.0044	107	240
6.87109	216	736
6.20009	255	836
8.51906	144	368
12.2231	45	95
11.2713	67	92
11.4272	61	90
5.09461	265	1271
14.4476	3	2
7.08088	216	757
15.6684	8	5
3.96361	342	1480
11.7722	54	113
9.46322	127	322
5.30933	294	1166
12.2268	54	63
12.9548	12	9
13.0079	27	31
9.25475	120	282
13.5379	14	16
2.78605	380	1626
13.2374	22	21
7.34083	201	674
11.7281	69	89
8.93738	141	271
10.0437	104	228
8.01435	187	605
12.6428	38	63
1.29322	408	1920
13.3042	26	42
15.4598	3	2
13.022	25	25
16.3674	2	1
17.4344	3	2
15.3441	7	5
4.1361	333	1513
6.80198	238	815
8.40571	171	424
7.23079	229	723
15.9102	6	4
13.7374	4	2
13.1148	22	23
14.0588	13	11
14.1874	2	1
14.4455	11	9
5.71132	299	1011
13.8567	9	6
3.06178	364	1734
7.3032	209	714
9.50723	122	332
5.94119	277	1041
11.4928	70	119
14.2941	18	21
7.9809	201	589
12.5692	14	18
4.9018	304	1239
15.6842	2	1
8.13592	166	494
5.30399	295	1102
6.15762	257	966
14.2536	13	10
15.7933	4	2
3.27955	352	1561
13.3105	15	15
14.7006	3	2
12.7472	37	50
11.5969	47	73
17.1276	4	3
15.3734	3	2
11.3057	98	158
7.93683	169	487
12.003	61	132
11.2689	48	74
15.0156	2	1
10.4623	93	189
5.67144	277	1086
7.16805	185	607
6.75999	231	803
12.8573	13	12
5.45528	288	1038
11.762	50	87
3.87576	344	1508
13.3192	20	29
14.6373	5	4
11.9471	16	19
14.8834	4	2
10.8478	84	169
8.75368	156	391
7.94427	186	557
13.4238	13	10
11.5504	68	117
8.10498	186	510
14.5934	4	2
12.9449	32	35
1.12008	405	1994
7.25092	205	636
15.2279	5	4
14.4116	2	1
14.8272	2	1
13.1248	28	34
1.89127	401	1884
9.10938	128	361
12.3281	37	46
6.71113	244	811
6.00637	274	1007
12.0703	44	53
10.3979	92	181
12.6838	30	36
4.41951	328	1282
10.8218	76	145
2.10271	397	1803
13.0495	24	25
5.81116	264	941
8.72354	152	412
11.0879	53	86
6.81653	223	752
8.14434	173	438
3.18698	365	1681
16.117	3	2
10.8543	81	146
8.26724	165	583
10.1087	114	237
7.44026	198	682
7.77481	196	599
5.80441	270	1004
13.1786	34	43
13.4877	3	2
15.4182	2	1
9.10319	158	289
3.81966	346	1526
11.2284	52	89
16.4073	2	1
14.5042	9	8
10.219	87	167
5.43474	292	1003
13.3638	14	12
14.0802	14	18
12.275	50	56
12.6124	34	53
10.0612	92	168
9.67173	106	319
7.7919	182	609
3.93325	338	1389
15.6849	2	1
13.1279	29	36
13.7775	16	14
13.9743	16	14
13.3412	14	16
10.8222	74	126
15.5878	18	17
12.8399	30	35
13.5732	18	23
2.96999	373	1766
5.69019	287	1127
6.08314	269	934
8.20967	184	569
13.9901	12	11
13.329	22	26
2.95808	379	1649
13.1811	17	20
7.74736	193	507
11.5641	52	77
9.05732	122	345
6.24778	247	918
10.2546	109	268
9.69376	102	295
16.4641	5	4
9.83005	107	295
13.3605	19	27
10.9846	86	164
12.6973	25	23
11.7565	52	76
14.1659	13	14
12.7073	24	24
13.7971	12	10
7.13786	221	687
7.18383	213	800
13.1293	17	18
14.0253	15	13
11.0022	54	87
13.0447	22	26
13.0186	17	18
8.85173	140	389
14.138	6	4
9.23816	117	303
15.6707	5	4
15.0416	2	1
10.1686	94	171
4.37011	335	1457
12.5302	59	62
9.45732	121	285
12.6446	30	31
5.33011	303	1088
14.3519	5	5
11.4959	72	103
8.12892	185	521
10.1221	95	197
2.26557	384	1782
10.9314	88	210
14.5813	11	10
14.7667	7	5
4.99909	297	1242
15.0944	4	3
12.902	14	16
13.2724	20	21
9.32185	141	378
6.88898	244	797
2.52139	398	1603
8.33603	166	495
16.1442	6	5
11.1709	62	107
3.95287	341	1368
9.93078	86	231
15.2191	7	7
7.04581	230	672
14.9694	7	12
13.471	12	12
8.85405	151	449
3.89127	343	1396
4.72563	325	1388
9.11234	117	309
10.4079	109	221
10.7634	67	133
13.6759	17	26
14.1244	3	2
12.5336	36	42
14.6931	5	4
14.8196	4	3
12.4512	23	40
8.80536	154	398
10.5275	56	139
4.8612	321	1178
7.9257	177	559
10.715	66	165
7.53059	211	549
11.7286	66	87
8.26988	165	444
12.9524	31	29
13.967	10	9
12.5286	27	34
12.3361	40	53
12.2302	40	64
14.843	19	23
16.0262	2	1
12.1084	49	75
12.3676	26	32
12.6981	36	42
10.8561	79	179
11.0135	98	218
10.8922	76	168
10.2836	65	133
1.8738	398	1924
7.8918	164	554
7.29374	220	668
14.3425	4	3
9.37472	144	342
15.858	2	1
6.17253	250	915
15.5282	2	1
13.9075	12	11
15.0981	6	5
9.04204	140	422
14.3928	7	4
13.9633	19	20
7.63374	183	612
10.6074	69	130
14.2721	2	1
12.8275	19	23
7.12469	220	715
14.691	3	2
14.2837	4	2
11.7153	46	56
11.3259	62	98
14.3287	7	5
10.8525	82	156
6.13594	270	1004
14.8489	6	5
11.1201	46	73
5.4741	278	1161
5.37812	293	1167
5.65073	288	1040
13.3303	10	8
9.12536	145	411
5.85294	254	1094
9.22233	133	395
1.54119	404	1969
12.2756	49	74
8.56575	135	440
13.2137	22	22
14.6147	6	5
7.7055	186	694
11.8051	39	48
6.74832	228	867
7.99803	186	514
6.78414	249	775
9.70034	110	200
8.31075	174	533
15.8893	6	5
2.78079	366	1904
14.8064	4	3
16.8424	4	3
9.01652	127	402
17.6783	2	1
15.9592	2	1
10.0583	96	262
3.55909	346	1689
11.4941	62	122
8.34239	164	490
13.3976	16	15
15.9044	2	1
4.65917	313	1257
3.29438	366	1693
14.4585	8	5
5.23127	278	1171
14.0756	12	13
9.84697	116	248
10.0392	111	220
11.7837	43	62
10.4462	62	154
10.3606	115	239
10.5527	72	121
6.84158	242	723
14.1247	2	1
14.8947	5	4
13.7019	4	4
13.4965	16	21
11.7112	50	75
12.6435	32	33
8.9845	131	387
12.9003	33	42
15.6958	2	1
14.9064	5	4
9.33249	134	334
12.6303	23	43
12.3207	27	27
10.4125	96	198
14.6487	6	5
13.7831	4	3
15.778	5	4
13.2236	20	19
15.4695	3	2
12.3201	29	41
15.8334	2	1
7.77507	191	573
4.19054	337	1529
12.7878	33	44
4.98847	290	1202
6.6754	242	829
7.19608	231	703
10.1031	103	256
12.3307	27	32
7.23413	215	654
13.5771	18	21
6.68968	249	815
13.2372	17	16
6.28239	256	922
8.18136	168	516
8.30757	165	458
6.27855	249	800
6.91136	226	768
12.8388	29	29
12.4021	31	48
11.6871	80	114
8.77015	143	406
9.14628	112	290
15.0517	3	2
1.32788	405	1975
13.907	11	11
7.91843	192	552
11.3851	65	91
14.2299	8	6
4.89389	329	1208
7.99857	161	587
2.29633	379	1788
10.3501	85	162
12.4936	32	27
2.44111	387	1804
14.9606	4	2
7.18793	213	780
10.5175	74	199
9.40703	129	316
14.7397	4	3
14.0795	6	5
12.893	17	30
11.3801	53	104
3.21624	371	1755
2.99609	365	1692
2.47662	381	1768
10.5753	90	155
17.6187	5	4
9.72986	113	304
12.4801	45	87
4.20945	331	1485
13.5336	8	7
7.69352	204	575
9.28976	133	348
12.1748	34	43
9.22092	119	318
12.9128	20	18
10.9781	83	133
12.0258	38	81
13.8685	5	5
12.2017	44	84
14.3233	13	10
4.3273	332	1351
13.6688	14	15
7.20057	232	751
12.1435	28	37
11.5615	65	101
11.3518	54	102
12.7016	22	25
12.1315	42	50
12.264	24	50
7.55535	201	594
14.8919	4	2
1.12863	402	1924
7.54276	199	673
3.25761	359	1595
16.1496	3	2
13.3957	18	24
9.76566	114	297
11.612	63	97
9.96935	105	228
9.71353	117	261
10.3068	101	184
15.4373	4	2
10.7878	61	130
12.2576	29	39
11.5491	61	110
12.6026	56	71
10.8582	79	152
11.4866	53	107
13.4577	15	15
14.7987	7	6
11.9875	47	68
10.4588	102	272
11.9265	41	87
14.4349	11	11
1.29655	400	1964
9.41652	128	314
12.8501	29	38
14.1625	5	3
9.61596	116	273
10.4467	93	172
10.4672	91	147
10.5859	119	202
8.95378	131	371
13.9189	17	23
7.19163	208	674
12.7574	10	9
4.58417	331	1294
12.7382	26	32
11.9695	64	109
6.45109	246	802
10.451	70	170
9.39401	107	352
16.3151	2	1
16.0293	2	1
13.7133	21	18
14.2916	14	16
8.01975	179	557
13.5748	14	18
4.05265	329	1463
8.13105	169	526
7.64335	173	568
11.9992	42	53
2.92595	386	1566
12.1794	43	54
9.40666	100	219
8.38385	163	556
10.1465	93	242
13.9587	17	20
9.52981	120	311
2.49267	383	1806
4.42606	326	1389
12.2048	29	44
8.9281	132	374
16.8614	3	2
14.197	13	9
4.35495	318	1496
12.4544	28	33
7.80732	184	627
10.6534	87	206
13.5026	17	17
9.55952	126	356
10.7715	79	179
16.9621	5	4
11.353	45	71
11.7793	25	30
14.5828	5	4
10.5438	71	165
14.4084	5	3
8.41984	167	454
13.9182	6	4
13.1593	15	21
6.35342	230	916
8.63035	160	480
11.2177	57	85
15.332	4	3
6.24078	242	963
8.96713	131	453
8.83759	152	432
6.69341	213	827
7.24167	220	747
10.8374	87	165
6.43894	237	864
9.97045	109	186
15.7134	4	3
16.8508	2	1
8.41174	147	480
7.78236	213	604
8.88965	141	345
10.7112	75	181
8.32494	168	503
11.1208	60	115
11.3702	53	91
14.8019	2	1
12.8353	34	41
